delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.1,1000,exp,20,8,1,space,0.85336,None,200,1,[2.118913499871269],[2.1189200999215245],1,8,20,6,141.8506648,,141.8353069,141.8506648,142.8507182,142.8507182,142.8507182,143.7178478,space,0.85336,None,143.7183229,143.8337914,144.1480076,144.1285253,144.1288932,144.1480076,144.1480076,144.1480076,146.2671451,200,1,[2.118913499871269],[2.1189200999215245],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,400,unexp,21,9,1,space,0.3225812,None,150,1,[4.250621400075033],[4.250628000125289],1,9,21,0,146.2823401,,146.26732,146.2823401,147.2815267,147.2815267,147.2815267,147.6157118,space,0.3225812,None,147.6161053,147.7154047,148.0297429,148.0160652,148.0164278,148.0297429,148.0297429,148.0297429,152.2806312,150,1,[4.250621400075033],[4.250628000125289],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,22,10,1,space,0.3954288,None,320,1,[2.0679685999639332],[2.067974800011143],1,10,22,8,152.296971,,152.2808133,152.296971,153.2802137,153.2802137,153.2974866,153.6797042,space,0.3954288,None,153.6802856,154.3790218,154.6938386,154.6787515,154.679078,154.6938386,154.6938386,154.6938386,156.7620193,320,1,[2.0679685999639332],[2.067974800011143],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,23,11,1,space,0.7742121,None,150,1,[1.735803399933502],[1.7358086998574436],1,11,23,3,156.7773014,,156.7621815,156.7773014,157.7777407,157.7777407,157.7777407,158.5612564,space,0.7742121,None,158.5617251,158.676502,158.9916636,158.979265,158.9796316,158.9916636,158.9916636,158.9916636,160.7276697,150,1,[1.735803399933502],[1.7358086998574436],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,400,unexp,24,0,2,space,0.5125187,None,500,1,[2.3683243000414222],[2.3683293000794947],2,0,24,0,160.7432556,,160.727832,160.7432556,161.7428196,161.7428196,161.7428196,162.2587441,space,0.5125187,None,162.2591307,162.3586794,162.6902594,162.6568289,162.6574984,162.6902594,162.6902594,162.6902594,165.0588021,500,1,[2.3683243000414222],[2.3683293000794947],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,25,1,2,space,0.313217,None,400,1,[1.6165226998273283],[1.616528799990192],2,1,25,7,165.0752641,,165.0589648,165.0752641,166.0742033,166.0742033,166.0905084,166.3905038,space,0.313217,None,166.3911718,166.791656,167.1069277,167.0955732,167.0958484,167.1069277,167.1069277,167.1069277,168.7236597,400,1,[1.6165226998273283],[1.616528799990192],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,26,2,2,space,0.5943964,None,350,1,[1.9181168000213802],[1.9181225998327136],2,2,26,8,168.7387539,,168.7238202,168.7387539,169.7383322,169.7383322,169.7383322,170.3382512,space,0.5943964,None,170.3386424,171.0381771,171.3527775,171.3399475,171.3403072,171.3527775,171.3527775,171.3527775,173.2711125,350,1,[1.9181168000213802],[1.9181225998327136],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,400,unexp,27,3,2,space,0.3103415,None,700,1,[4.35057200002484],[4.350578600075096],2,3,27,2,173.2870599,,173.2712816,173.2870599,174.2696582,174.2696582,174.2866759,174.5864963,space,0.3103415,None,174.5871028,175.2860803,175.6012465,175.5900178,175.5902755,175.6012465,175.6012465,175.6012465,179.9520412,700,1,[4.35057200002484],[4.350578600075096],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,28,4,2,space,0.2805801,None,250,1,[2.134672899963334],[2.134679300012067],2,4,28,10,179.9685095,,179.9522117,179.9685095,180.9509026,180.9509026,180.9672286,181.234359,space,0.2805801,None,181.2348949,181.6340336,181.9484316,181.9257468,181.9260318,181.9484316,181.9484316,181.9484316,184.0833164,250,1,[2.134672899963334],[2.134679300012067],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,29,5,2,space,0.6209942,None,400,1,[2.501575800124556],[2.5015823000576347],2,5,29,5,184.0999719,,184.0834791,184.0999719,185.0988761,185.0988761,185.1158674,185.7323145,space,0.6209942,None,185.7327343,186.4317534,186.7463239,186.7291177,186.729373,186.7463239,186.7463239,186.7463239,189.2483246,400,1,[2.501575800124556],[2.5015823000576347],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
